ID,Video Duration,Video Publish Time,Days Since Publish,Day,Month,Year,Day of Week,Revenue per 1000 Views (USD),Monetized Playbacks (Estimate),Playback-Based CPM (USD),CPM (USD),Ad Impressions,Estimated AdSense Revenue (USD),DoubleClick Revenue (USD),YouTube Ads Revenue (USD),Watch Page Ads Revenue (USD),YouTube Premium (USD),Transaction Revenue (USD),Transactions,Revenue from Transactions (USD),Reactions,Chat Messages Count,Reminders Set,Stream Hours,Remix Views,Remix Count,Subscribers from Posts,New Comments,Shares,Like Rate (%),Dislikes,Likes,Unsubscribes,New Subscribers,Returned Items (USD),Unconfirmed Commissions (USD),Approved Commissions (USD),Orders,Total Sales Volume (USD),End Screen Click-Through Rate (%),End Screen Impressions,End Screen Clicks,Teaser Click-Through Rate (%),Teaser Impressions,Teaser Clicks,Card Click-Through Rate (%),Card Impressions,Card Clicks,Views per Playlist Start,Playlist Views,Playlist Watch Time (hours),Clip Watch Time (hours),Clip Views,YouTube Premium Watch Time (hours),YouTube Premium Views,Returning Viewers,New Viewers,Average Views per User,Unique Viewers,Watched (Not Skipped) (%),Feed Impressions,Average View Percentage (%),Average View Duration,Views,Watch Time (hours),Subscribers,Estimated Revenue (USD),Impressions,Video Thumbnail CTR (%)
0,201,02-06-2016 00:00,0,2,6,2016,Thursday,0.024,723,1.386,1.021,981,0.527,0.024,1.002,0.551,0.01,0,0,0,0,0,0,0,0,0,0,91,12,96.86,30,924,3,54,0,0,0,0,0,4.35,46,2,0,0,0,0,0,0,3.3333,10,0.2974,0.1575,10,2.5358,152,0,0,0,0,0,0,40.38,81,23531,533.1636,51,0.561,41118,27.66
1,391,10-06-2016 00:00,8,10,6,2016,Friday,0.056,727,1.612,1.361,861,0.635,0.009,1.172,0.645,0.004,0,0,0,0,0,0,0,0,0,0,35,5,94.71,18,322,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,0.5187,0,0,0.8911,32,0,0,0,0,0,0,39.85,156,11478,500.5628,33,0.648,41627,5.85
2,133,14-06-2016 00:00,4,14,6,2016,Tuesday,0.014,76,2.105,1.818,88,0.088,0,0.16,0.088,0.001,0,0,0,0,0,0,0,0,0,0,0,4,92.28,20,239,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.1683,0,0,0.1838,28,0,0,0,0,0,0,30.88,41,6153,70.7287,8,0.089,38713,7.07
3,14,29-06-2016 00:00,15,29,6,2016,Wednesday,0.004,18,1.667,0.857,35,0.016,0,0.03,0.016,0,0,0,0,0,0,0,0,0,0,0,12,7,94.02,14,220,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6667,20,0.064,0,0,0.0711,20,0,0,0,0,0,0,103.05,14,4398,17.6251,2,0.017,35245,5.6
4,45,01-07-2016 00:00,2,1,7,2016,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,76.98,180,602,3,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.6667,10,0.0611,0,0,0.2519,39,0,0,0,0,0,0,55.7,25,14659,104.3341,28,0,46218,8.62
5,496,08-07-2016 00:00,7,8,7,2016,Friday,0.036,491,1.122,0.819,673,0.291,0.012,0.551,0.303,0.002,0,0,0,0,0,0,0,0,0,0,27,3,94.46,17,290,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.513,0,0,0.513,22,0,0,0,0,0,0,36.7,182,8415,425.4773,19,0.305,40395,5.09
6,9,05-08-2016 00:00,28,5,8,2016,Friday,0.001,32,0.125,0.093,43,0.002,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,16,14,94.97,8,151,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0208,0,0,0.0439,20,0,0,0,0,0,0,117.3,10,4330,12.6979,4,0.003,34250,4.67
7,34,08-08-2016 00:00,3,8,8,2016,Monday,0.015,404,0.683,0.462,597,0.147,0.004,0.276,0.152,0,0,0,0,0,0,0,0,0,0,0,33,37,97.57,11,441,0,24,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2.75,11,0.0995,0,0,0.2952,37,0,0,0,0,0,0,101.52,35,10048,98.9192,24,0.152,39866,7.31
8,11,11-08-2016 00:00,3,11,8,2016,Thursday,0.006,127,0.724,0.451,204,0.051,0,0.092,0.051,0,0,0,0,0,0,0,0,0,0,0,37,21,93.77,16,241,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6667,11,0.0304,0,0,0.0643,27,0,0,0,0,0,0,75.52,8,8188,18.8953,14,0.051,37186,6.83
9,14,12-08-2016 00:00,1,12,8,2016,Friday,0.014,44,2.591,1.5,76,0.06,0.002,0.114,0.063,0,0,0,0,0,0,0,0,0,0,0,15,3,90.98,12,121,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0536,0,0,0.06,20,0,0,0,0,0,0,91.03,13,4389,16.647,5,0.063,33920,4.36
